Job Title,Job Salary,Job Experience Required,Skills,Role,Location
Technical Support," 2,00,000 - 4,00,000 PA. ",0,"Troubleshooting, Customer Service, Hardware Support, Software Support",Technical Support Engineer,Mumbai
Sales," 2,00,000 - 3,00,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Bengaluru
Business Development," 2,50,000 - 4,50,000 PA. ",0,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Delhi
Key Accounts Manager," 1,50,000 - 3,00,000 PA. ",0,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Key Account Manager,Bengaluru
Assistant Restaurant Manager," 3,75,000 - 5,50,000 PA. ",5,"Team Management, Customer Service, Inventory Control, Staff Training, Food Safety",Restaurant Manager,Delhi
Manager Accounts," 3,50,000 - 4,75,000 PA. ",10,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Manager,Delhi
Merchandiser," 2,00,000 - 6,50,000 PA. ",2,"Inventory Management, Vendor Coordination, Visual Merchandising, Sales Analysis, Forecasting",Merchandiser,Thane
Deputy Manager," INR 6,00,000 - 12,00,000 PA.",4,"Team Management, Strategic Planning, Performance Monitoring, Reporting, Process Improvement",Social Media Marketing Manager,Delhi
Relationship Manager," 4,75,000 - 6,00,000 PA. ",3,"Client Relationship, Cross-Selling, Financial Advisory, Customer Retention, Sales",BD Manager,Chandigarh
Senior Java Developer," 3,50,000 - 6,00,000 PA. ",3,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Mumbai
Senior Software Engineer," 11,00,000 - 19,00,000 PA. ",5,"Programming, Software Development, Debugging, SDLC",Software Developer,Gurgaon
Production Manager," 1,25,000 - 3,00,000 PA. ",1,"Production Planning, Quality Control, Team Supervision, Inventory Management, Cost Reduction",Production Manager,Chandigarh
Territory Sales Manager," 7,00,000 - 11,00,000 PA. ",3,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Bengaluru
Senior Manager," 10,00,000 - 20,00,000 PA. ",12,"Strategic Leadership, Budgeting, Team Management, Performance Analysis, Stakeholder Management",Finance / Budgeting Manager,Bengaluru
Sales Engineer," 60,000 - 3,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales,Bengaluru
Java Full Stack Developer," 10,00,000 - 13,00,000 PA. ",4,"Java, Spring Boot, React, REST APIs, SQL, Microservices, Full Stack Development",Software Developer,Pune
Assistant Manager Purchase," 4,25,000 - 4,75,000 PA. ",10,"Procurement, Vendor Management, Inventory Management, Negotiation, SAP",Purchase Executive,Gurgaon
Agency Manager," 2,00,000 - 4,00,000 PA. ",2,"Sales Management, Team Handling, Client Acquisition, Insurance, Lead Generation",Sales / Business Development Manager,Bhopal
Service Engineer," 1,00,000 - 3,00,000 PA. ",1,"Equipment Maintenance, Troubleshooting, Customer Support, Installation, Technical Support",Service / Maintenance Engineer,Delhi
Sales Manager," 5,00,000 - 6,00,000 PA. ",4,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Chennai
Manager Sales," 8,00,000 - 12,00,000 PA. ",6,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Delhi
